name,cd_nom,lb_nom_key,label,regne
549228,549228,Abudefduf xanthonotus,Abudefduf xanthonotus{549228},Animalia
549232,549232,Abudefduf xanthozona,Abudefduf xanthozona{549232},Animalia
549221,549221,Abudefduf xanthozonus,Abudefduf xanthozonus{549221},Animalia
557465,557465,Abudefduf yamashinai,Abudefduf yamashinai{557465},Animalia
549238,549238,Abudefduf zonatus,Abudefduf zonatus{549238},Animalia
578183,578183,Abudefdus vaigiensis,Abudefdus vaigiensis{578183},Animalia
751514,751514,Aburia coleoptrata (#ref),Aburia coleoptrata (#ref){751514},Animalia
751515,751515,Aburia olivacea (#ref),Aburia olivacea (#ref){751515},Animalia
745739,745739,Aburia (#ref),Aburia (#ref){745739},Animalia
780296,780296,Aburria cumanensis,Aburria cumanensis{780296},Animalia
645127,645127,Aburria pipile,Aburria pipile{645127},Animalia
768289,768289,Abuta amara,Abuta amara{768289},Plantae
734262,734262,Abuta barbata (#ref),Abuta barbata (#ref){734262},Plantae
734263,734263,Abuta bullata (#ref),Abuta bullata (#ref){734263},Plantae
768290,768290,Abuta candicans,Abuta candicans{768290},Plantae
734264,734264,Abuta candollei (#ref),Abuta candollei (#ref){734264},Plantae
768291,768291,Abuta concolor,Abuta concolor{768291},Plantae
734265,734265,Abuta grandifolia (#ref),Abuta grandifolia (#ref){734265},Plantae
735477,735477,Abuta grisebachii (#ref),Abuta grisebachii (#ref){735477},Plantae
768292,768292,Abuta guyanensis,Abuta guyanensis{768292},Plantae
734266,734266,Abuta imene (#ref),Abuta imene (#ref){734266},Plantae
768293,768293,Abuta klugii,Abuta klugii{768293},Plantae
768294,768294,Abuta limaciifolia,Abuta limaciifolia{768294},Plantae
734267,734267,Abuta obovata (#ref),Abuta obovata (#ref){734267},Plantae
768295,768295,Abuta pullei,Abuta pullei{768295},Plantae
731142,731142,Abuta (#ref),Abuta (#ref){731142},Plantae
734268,734268,Abuta rufescens (#ref),Abuta rufescens (#ref){734268},Plantae
734269,734269,Abuta sandwithiana (#ref),Abuta sandwithiana (#ref){734269},Plantae
734270,734270,Abuta solimoesensis (#ref),Abuta solimoesensis (#ref){734270},Plantae
768296,768296,Abuta splendida,Abuta splendida{768296},Plantae
